 102.900  35.927  -0.94      0.93  116.4    8.0    2.4    1   1   1
 102.875  35.921  -2.83      1.48  124.7    8.1    2.4    2   1   1
 102.850  35.916  -4.72      2.03  132.9    8.3    2.4    3   1   1
 102.825  35.911  -6.61      1.73  127.4    7.0    3.2    4   1   1
 102.800  35.905  -8.50      1.44  121.8    6.1    4.0    5   1   1
 102.775  35.900 -10.38      0.87  130.6    6.3    3.2    6   1   1
 102.750  35.894 -12.27      0.29  139.4    6.8    2.4    7   1   1
 102.726  35.889 -14.16      0.71  139.2    7.1    2.4    8   1   1
 102.701  35.883 -16.05      1.14  138.9    7.7    2.4    9   1   1
 102.676  35.878 -17.94      0.60  138.9    8.2    2.4   10   1   1
 102.651  35.872 -19.82      0.05  138.9    8.8    2.4   11   1   1
 102.909  35.901  -0.94      0.47  124.2    7.2    2.4    1   2   1
 102.884  35.895  -2.83      2.19  129.2    7.2    2.4    2   2   1
 102.859  35.890  -4.72      3.92  134.2    7.2    2.4    3   2   1
 102.834  35.884  -6.61      2.35  129.6    6.3    2.4    4   2   1
 102.809  35.879  -8.50      0.78  125.0    5.6    2.4    5   2   1
 102.784  35.874 -10.38      0.54  131.2    5.5    2.4    6   2   1
 102.759  35.868 -12.27      0.31  137.5    5.6    1.6    7   2   1
 102.734  35.863 -14.16      0.71  139.0    5.9    2.4    8   2   1
 102.709  35.857 -16.05      1.11  140.4    6.4    2.4    9   2   1
 102.684  35.852 -17.94      0.62  134.0    7.2    2.4   10   2   1
 102.659  35.846 -19.82      0.12  127.6    8.2    2.4   11   2   1
 102.917  35.875  -0.94      0.00  132.0    6.5    2.4    1   3   1
 102.892  35.869  -2.83      2.91  133.7    6.3    3.2    2   3   1
 102.867  35.864  -4.72      5.82  135.4    6.2    3.2    3   3   1
 102.842  35.858  -6.61      2.98  131.8    5.5    2.4    4   3   1
 102.818  35.853  -8.50      0.13  128.2    5.0    0.8    5   3   1
 102.793  35.847 -10.38      0.22  131.9    4.6    0.8    6   3   1
 102.768  35.842 -12.27      0.32  135.5    4.6    1.6    7   3   1
 102.743  35.837 -14.16      0.70  138.7    4.8    1.6    8   3   1
 102.718  35.831 -16.05      1.08  141.9    5.3    2.4    9   3   1
 102.693  35.826 -17.94      0.64  129.1    6.4    2.4   10   3   1
 102.668  35.820 -19.82      0.20  116.2    7.7    2.4   11   3   1
 102.926  35.849  -0.94      0.00  112.9    6.0    3.2    1   4   1
